"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2023","159.28","157.32","159.40","156.54","73.76M","1.19%"
"03/20/2023","157.40","155.07","157.82","154.15","73.47M","1.55%"
"03/17/2023","155.00","156.08","156.74","154.28","98.94M","-0.55%"
"03/16/2023","155.85","152.16","156.46","151.64","76.02M","1.87%"
"03/15/2023","152.99","151.19","153.24","149.92","75.96M","0.26%"
"03/14/2023","152.59","151.28","153.40","150.10","73.37M","1.41%"
"03/13/2023","150.47","147.80","153.14","147.70","84.46M","1.33%"
"03/10/2023","148.50","150.21","150.94","147.61","68.57M","-1.39%"
"03/09/2023","150.59","153.56","154.54","150.23","53.45M","-1.49%"
"03/08/2023","152.87","152.81","153.47","151.83","47.20M","0.84%"
"03/07/2023","151.60","153.70","154.03","151.13","56.18M","-1.45%"
"03/06/2023","153.83","153.79","156.30","153.46","87.56M","1.85%"
"03/03/2023","151.03","148.04","151.11","147.33","70.50M","3.51%"
"03/02/2023","145.91","144.38","146.71","143.90","52.09M","0.41%"
"03/01/2023","145.31","146.83","147.23","145.01","55.22M","-1.42%"
"02/28/2023","147.41","147.05","149.08","146.83","50.55M","-0.34%"
"02/27/2023","147.92","147.71","149.17","147.45","45.00M","0.82%"
"02/24/2023","146.71","147.11","147.19","145.72","55.47M","-1.80%"
"02/23/2023","149.40","150.09","150.34","147.24","48.39M","0.33%"
"02/22/2023","148.91","148.87","149.95","147.16","51.01M","0.29%"
"02/21/2023","148.48","150.20","151.30","148.40","58.87M","-2.67%"
"02/17/2023","152.55","152.35","153.00","150.85","59.14M","-0.75%"
"02/16/2023","153.71","153.51","156.33","153.35","66.84M","-1.04%"
"02/15/2023","155.33","153.11","155.50","152.88","65.47M","1.39%"
"02/14/2023","153.20","152.12","153.77","150.86","61.71M","-0.42%"
"02/13/2023","153.85","150.95","154.26","150.92","61.86M","1.88%"
"02/10/2023","151.01","149.46","151.34","149.22","57.45M","0.09%"
"02/09/2023","150.87","153.77","154.33","150.42","54.90M","-0.69%"
"02/08/2023","151.92","153.88","154.58","151.17","63.47M","-1.77%"
"02/07/2023","154.65","150.64","155.23","150.64","83.03M","1.92%"
"02/06/2023","151.73","152.57","153.10","150.78","68.02M","-1.79%"
"02/03/2023","154.50","148.03","157.38","147.83","154.36M","2.44%"
"02/02/2023","150.82","148.90","151.18","148.17","104.48M","3.71%"
"02/01/2023","145.43","143.97","146.61","141.32","76.77M","0.79%"
"01/31/2023","144.29","142.70","144.34","142.28","65.87M","0.90%"
"01/30/2023","143.00","144.96","145.55","142.85","62.98M","-2.01%"
"01/27/2023","145.93","143.15","147.23","143.08","70.56M","1.37%"
"01/26/2023","143.96","143.17","144.25","141.90","53.65M","1.48%"
"01/25/2023","141.86","140.89","142.43","138.81","64.69M","-0.47%"
"01/24/2023","142.53","140.30","143.16","140.30","63.71M","1.01%"
"01/23/2023","141.11","138.12","143.32","137.90","81.57M","2.35%"
"01/20/2023","137.87","135.28","138.02","134.22","80.22M","1.92%"
"01/19/2023","135.27","134.08","136.25","133.77","58.07M","0.04%"
"01/18/2023","135.21","136.82","138.61","135.03","69.67M","-0.54%"
"01/17/2023","135.94","134.83","137.29","134.13","63.42M","0.88%"
"01/13/2023","134.76","132.03","134.92","131.66","57.81M","1.01%"
"01/12/2023","133.41","133.88","134.26","131.44","71.25M","-0.06%"
"01/11/2023","133.49","131.25","133.51","130.46","69.12M","2.11%"
"01/10/2023","130.73","130.26","131.26","128.12","63.43M","0.45%"
"01/09/2023","130.15","130.46","133.41","129.89","70.50M","0.41%"
"01/06/2023","129.62","126.01","130.29","124.89","87.76M","3.68%"
"01/05/2023","125.02","127.13","127.77","124.76","79.97M","-1.06%"
"01/04/2023","126.36","126.89","128.66","125.08","88.46M","1.03%"
"01/03/2023","125.07","130.28","130.90","124.17","111.68M","-3.74%"
"12/30/2022","129.93","128.41","129.95","127.43","77.03M","0.25%"
"12/29/2022","129.61","127.99","130.48","127.73","75.48M","2.83%"
"12/28/2022","126.04","129.67","131.03","125.87","84.90M","-3.07%"
"12/27/2022","130.03","131.38","131.41","128.72","68.75M","-1.39%"
"12/23/2022","131.86","130.92","132.41","129.64","63.82M","-0.28%"
"12/22/2022","132.23","134.35","134.56","130.30","77.59M","-2.38%"
"12/21/2022","135.45","132.98","136.81","132.75","85.75M","2.38%"
"12/20/2022","132.30","131.39","133.25","129.89","77.08M","-0.05%"
"12/19/2022","132.37","135.11","135.20","131.32","79.15M","-1.59%"
"12/16/2022","134.51","136.68","137.65","133.73","160.16M","-1.46%"
"12/15/2022","136.50","141.11","141.80","136.02","97.25M","-4.69%"
"12/14/2022","143.21","145.35","146.65","141.16","82.29M","-1.55%"
"12/13/2022","145.47","149.50","149.97","144.24","93.73M","0.68%"
"12/12/2022","144.49","142.70","144.50","141.06","70.31M","1.64%"
"12/09/2022","142.16","142.34","145.57","140.90","76.10M","-0.34%"
"12/08/2022","142.65","142.36","143.52","141.10","61.91M","1.21%"
"12/07/2022","140.94","142.19","143.37","140.00","69.51M","-1.38%"
"12/06/2022","142.91","147.07","147.30","141.92","64.52M","-2.54%"
"12/05/2022","146.63","147.77","150.92","145.77","68.39M","-0.80%"
"12/02/2022","147.81","145.96","148.00","145.65","65.45M","-0.34%"
"12/01/2022","148.31","148.21","149.13","146.61","71.25M","0.19%"
"11/30/2022","148.03","141.40","148.72","140.55","111.38M","4.86%"
"11/29/2022","141.17","144.29","144.81","140.35","83.76M","-2.11%"
"11/28/2022","144.22","145.14","146.64","143.38","69.35M","-2.63%"
"11/25/2022","148.11","148.30","148.88","147.12","35.20M","-1.96%"
"11/23/2022","151.07","149.45","151.83","149.34","58.30M","0.59%"
"11/22/2022","150.18","148.13","150.42","146.93","51.80M","1.47%"
"11/21/2022","148.01","150.16","150.37","147.71","58.72M","-2.17%"
"11/18/2022","151.29","152.30","152.70","149.97","74.83M","0.38%"
"11/17/2022","150.72","146.43","151.48","146.15","80.39M","1.30%"
"11/16/2022","148.79","149.13","149.87","147.29","64.22M","-0.83%"
"11/15/2022","150.04","152.21","153.59","148.56","89.87M","1.19%"
"11/14/2022","148.28","148.97","150.28","147.43","73.37M","-0.95%"
"11/11/2022","149.70","145.82","150.01","144.37","93.98M","1.93%"
"11/10/2022","146.87","141.24","146.87","139.50","118.85M","8.90%"
"11/09/2022","134.87","138.50","138.55","134.59","74.92M","-3.32%"
"11/08/2022","139.50","140.41","141.43","137.49","89.91M","0.42%"
"11/07/2022","138.92","137.11","139.15","135.67","83.38M","0.39%"
"11/04/2022","138.38","142.09","142.67","134.38","140.82M","-0.36%"
"11/03/2022","138.88","142.06","142.80","138.75","97.92M","-4.24%"
"11/02/2022","145.03","148.95","152.17","145.00","93.61M","-3.73%"
"11/01/2022","150.65","155.08","155.45","149.13","80.38M","-1.75%"
"10/31/2022","153.34","153.15","154.24","151.92","97.94M","-1.54%"
"10/28/2022","155.74","148.20","157.50","147.82","164.76M","7.56%"
"10/27/2022","144.80","148.07","149.05","144.13","109.18M","-3.05%"
"10/26/2022","149.35","150.96","151.99","148.04","88.44M","-1.96%"
"10/25/2022","152.34","150.09","152.49","149.36","74.73M","1.93%"
"10/24/2022","149.45","147.18","150.23","146.00","75.98M","1.48%"
"10/21/2022","147.27","142.87","147.85","142.65","86.55M","2.71%"
"10/20/2022","143.39","143.02","145.89","142.65","64.52M","-0.33%"
"10/19/2022","143.86","141.69","144.95","141.50","61.76M","0.08%"
"10/18/2022","143.75","145.49","146.70","140.61","99.14M","0.94%"
"10/17/2022","142.41","141.07","142.90","140.27","85.25M","2.91%"
"10/14/2022","138.38","144.31","144.52","138.19","88.60M","-3.22%"
"10/13/2022","142.99","134.99","143.59","134.37","113.22M","3.36%"
"10/12/2022","138.34","139.13","140.36","138.16","70.43M","-0.46%"
"10/11/2022","138.98","139.90","141.35","138.22","77.03M","-1.03%"
"10/10/2022","140.42","140.42","141.89","138.57","74.90M","0.24%"
"10/07/2022","140.09","142.54","143.10","139.45","85.93M","-3.67%"
"10/06/2022","145.43","145.81","147.54","145.22","68.40M","-0.66%"
"10/05/2022","146.40","144.07","147.38","143.01","79.47M","0.21%"
"10/04/2022","146.10","145.03","146.22","144.26","87.83M","2.56%"
"10/03/2022","142.45","138.21","143.07","137.68","114.31M","3.08%"
"09/30/2022","138.20","141.28","143.10","138.00","124.93M","-3.00%"
"09/29/2022","142.48","146.10","146.72","140.68","128.14M","-4.91%"
"09/28/2022","149.84","147.64","150.64","144.84","146.69M","-1.27%"
"09/27/2022","151.76","152.74","154.72","149.95","84.44M","0.66%"
"09/26/2022","150.77","149.66","153.77","149.64","93.34M","0.23%"
"09/23/2022","150.43","151.19","151.47","148.56","96.03M","-1.51%"
"09/22/2022","152.74","152.38","154.47","150.91","86.65M","-0.64%"
"09/21/2022","153.72","157.34","158.74","153.60","101.70M","-2.03%"
"09/20/2022","156.90","153.40","158.08","153.08","107.69M","1.57%"
"09/19/2022","154.48","149.31","154.56","149.10","81.47M","2.51%"
"09/16/2022","150.70","151.21","151.35","148.37","162.28M","-1.10%"
"09/15/2022","152.37","154.65","155.24","151.38","90.48M","-1.89%"
"09/14/2022","155.31","154.79","157.10","153.61","87.97M","0.96%"
"09/13/2022","153.84","159.90","160.54","153.37","122.66M","-5.87%"
"09/12/2022","163.43","159.59","164.26","159.30","104.96M","3.85%"
"09/09/2022","157.37","155.47","157.82","154.75","68.08M","1.88%"
"09/08/2022","154.46","154.64","156.36","152.68","84.92M","-0.96%"
"09/07/2022","155.96","154.82","156.67","153.61","87.45M","0.93%"
"09/06/2022","154.53","156.47","157.09","153.69","73.72M","-0.82%"
"09/02/2022","155.81","159.75","160.36","154.96","76.96M","-1.36%"
"09/01/2022","157.96","156.64","158.42","154.67","74.23M","0.47%"
"08/31/2022","157.22","160.30","160.58","157.14","87.99M","-1.06%"
"08/30/2022","158.91","162.13","162.56","157.72","77.91M","-1.53%"
"08/29/2022","161.38","161.15","162.90","159.82","73.31M","-1.37%"
"08/26/2022","163.62","170.57","171.05","163.56","78.96M","-3.77%"
"08/25/2022","170.03","168.78","170.14","168.35","51.22M","1.49%"
"08/24/2022","167.53","167.32","168.11","166.24","53.84M","0.18%"
"08/23/2022","167.23","167.08","168.71","166.65","54.15M","-0.20%"
